class	type	cbo	cboModified	fanin	fanout	wmc	dit	noc	rfc	lcom	lcom*	tcc	lcc	totalMethodsQty	staticMethodsQty	publicMethodsQty	privateMethodsQty	protectedMethodsQty	defaultMethodsQty	visibleMethodsQty	abstractMethodsQty
org.apache.dubbo.rpc.cluster.router.mesh.route.MeshAppRuleListenerTest	class	10	10	0	10	6	1	0	24	0	0.625	1	1	6	0	0	0	0	6	6	0
org.apache.dubbo.metrics.collector.sample.SimpleMetricsCountSampler	class	6	12	6	6	8	1	0	12	8	0.70000005	0	0	5	0	2	1	2	0	4	1
org.apache.dubbo.metadata.report.identifier.MetadataIdentifierTest	class	2	2	0	2	5	1	0	2	0	0	#NUM!	#NUM!	1	0	0	0	0	1	1	0
org.apache.dubbo.common.utils.Log	class	2	5	3	2	29	1	0	5	3	0.68	0.46666667	1	10	0	10	0	0	0	10	0
org.apache.dubbo.aot.generate.NativeClassSourceWriter	class	3	5	2	3	3	1	0	14	0	0.5	#NUM!	#NUM!	1	0	1	0	0	0	1	0
org.apache.dubbo.demo.consumer.ApiConsumer	class	7	7	0	7	2	1	0	24	0	0	#NUM!	#NUM!	1	1	1	0	0	0	1	0
org.apache.dubbo.common.url.component.URLParam	class	8	15	7	8	162	2	1	78	386	0.8194445	0.23280424	0.5026455	36	6	24	8	4	0	28	0
org.apache.dubbo.aot.generate.ResourcePatternDescriberTest	class	2	2	0	2	1	1	0	3	0	0	#NUM!	#NUM!	1	0	1	0	0	0	1	0
org.apache.dubbo.rpc.stub.BiStreamMethodHandlerTest	class	3	3	0	3	1	1	0	4	0	0	#NUM!	#NUM!	1	0	0	0	0	1	1	0
org.apache.dubbo.qos.command.impl.StartupTest	class	14	14	0	14	2	1	0	20	0	0	1	1	2	0	1	0	0	1	2	0
org.apache.dubbo.common.logger.slf4j.Slf4jLoggerAdapter	class	6	7	1	6	9	1	0	4	20	0.78125	0.14285715	0.14285715	8	0	8	0	0	0	8	0
org.apache.dubbo.qos.command.impl.OfflineApp	class	4	5	1	4	3	2	0	3	1	0	0	0	2	0	1	0	1	0	2	0
org.apache.dubbo.rpc.RpcStatusTest	class	5	5	0	5	8	1	0	30	3	0	0	0	3	0	0	0	0	3	3	0
org.apache.dubbo.metadata.annotation.processing.builder.MapTypeDefinitionBuilderTest	class	10	11	1	10	5	2	0	17	0	0.36666667	0.6	0.6	5	1	0	0	2	3	5	0
org.apache.dubbo.common.utils.Holder	class	1	2	1	1	2	1	0	0	0	0	1	1	2	0	2	0	0	0	2	0
org.apache.dubbo.common.constants.CommonConstantsTest	class	1	1	0	1	1	1	0	1	0	0	#NUM!	#NUM!	1	0	0	0	0	1	1	0
org.apache.dubbo.metrics.event.MetricsEventBus	class	7	13	6	7	18	1	0	20	28	0.875	0	0	8	8	7	1	0	0	7	0
org.apache.dubbo.common.beans.ScopeBeanExtensionInjector	class	5	5	0	5	3	1	0	2	0	0	1	1	2	0	2	0	0	0	2	0
org.apache.dubbo.remoting.transport.netty4.NettyPortUnificationServerHandler	class	21	23	2	21	17	2	0	43	1	0.52380955	0.6666667	1	6	0	3	2	1	0	4	0
org.apache.dubbo.config.spring.reference.ReferenceBeanBuilder	class	6	11	5	6	50	1	0	3	0	0.02	0.96	0.96	50	0	50	0	0	0	50	0
org.apache.dubbo.metadata.test.JTestMetadataReportFactory4Test	class	4	4	0	4	1	2	0	0	0	0	#NUM!	#NUM!	1	0	1	0	0	0	1	0
org.apache.dubbo.common.convert.multiple.StringToBlockingQueueConverter	class	2	2	0	2	2	2	0	0	1	0	0	0	2	0	1	0	1	0	2	0
com.service.Params	class	0	1	1	0	2	1	0	1	0	0.5	1	1	2	0	2	0	0	0	2	0
org.apache.dubbo.config.ModuleConfigTest	class	4	4	0	4	9	1	0	30	36	0	0	0	9	0	0	0	0	9	9	0
org.apache.dubbo.rpc.model.ConsumerMethodModel	class	1	3	2	1	15	1	0	8	31	0.8000001	0.19444445	0.6111111	10	0	9	1	0	0	9	0
org.apache.dubbo.monitor.dubbo.DubboMonitorFactoryTest	class	10	10	0	10	2	1	0	19	0	0	1	1	2	0	1	0	0	1	2	0
org.apache.dubbo.config.spring.beans.factory.annotation.AbstractAnnotationBeanPostProcessor	class	25	29	4	25	42	7	1	38	237	0.9293478	0.045751635	0.045751635	23	1	10	5	8	0	18	1
org.apache.dubbo.security.cert.CertDeployerListener	class	5	5	0	5	11	1	0	12	9	0.42857143	0.2857143	0.2857143	7	0	7	0	0	0	7	0
org.apache.dubbo.rpc.protocol.rest.pair.InvokerAndRestMethodMetadataPair	class	3	6	3	3	8	1	0	9	0	0.2	0.9	1	5	1	5	0	0	0	5	0
org.apache.dubbo.common.extension.ext6_inject.impl.DaoImpl	class	1	1	0	1	1	1	0	0	0	0	#NUM!	#NUM!	1	0	1	0	0	0	1	0
org.apache.dubbo.common.ServiceKeyMatcherTest	class	2	2	0	2	3	1	0	3	3	0	0	0	3	0	0	0	0	3	3	0
org.apache.dubbo.metadata.annotation.processing.builder.ArrayTypeDefinitionBuilderTest	class	9	12	2	10	5	2	0	17	0	0.42857146	0.6	0.6	5	1	0	0	2	3	5	0
org.apache.dubbo.config.spring.schema.DubboNamespaceHandler	class	24	25	1	24	3	2	0	7	3	0	0	0	3	0	2	1	0	0	2	0
org.apache.dubbo.common.convert.StringToCharArrayConverterTest	class	5	5	0	5	3	1	0	7	0	0	1	1	3	0	1	0	0	2	3	0
org.apache.dubbo.qos.command.impl.Quit	class	3	3	0	3	1	1	0	0	0	0	#NUM!	#NUM!	1	0	1	0	0	0	1	0
org.apache.dubbo.config.spring.beans.factory.annotation.ReferenceAnnotationBeanPostProcessor	class	33	37	4	33	75	2	0	91	110	0.85294116	0.16666667	0.26923078	17	1	11	4	2	0	13	0
org.apache.dubbo.config.bootstrap.builders.AbstractBuilderTest	class	5	5	0	5	6	3	0	11	15	0	0	0	6	0	0	0	0	6	6	0
org.apache.dubbo.config.spring.boot.conditional4.JavaConfigReferenceBeanConditionalTest4	class	11	12	1	11	3	1	0	9	1	0.33333334	0	0	3	2	3	0	0	0	3	0
org.apache.dubbo.common.convert.multiple.StringToBlockingDequeConverter	class	2	2	0	2	2	2	0	0	1	0	0	0	2	0	1	0	1	0	2	0
org.apache.dubbo.remoting.telnet.codec.TelnetCodec	class	8	10	2	8	79	3	0	47	19	0.8367347	0	0	7	4	2	4	1	0	3	0
org.apache.dubbo.config.integration.multiple.servicediscoveryregistry.MultipleRegistryCenterServiceDiscoveryRegistryServiceImpl	class	1	1	0	1	1	1	0	0	0	0	#NUM!	#NUM!	1	0	1	0	0	0	1	0
org.apache.dubbo.metadata.MappingChangedEvent	class	0	6	6	0	4	1	0	1	0	0.25	0.8333333	1	4	0	4	0	0	0	4	0
org.apache.dubbo.common.serialize.nativejava.NativeJavaSerialization	class	8	8	0	8	6	1	0	3	4	0.5	0.16666667	0.16666667	4	0	4	0	0	0	4	0
org.apache.dubbo.remoting.exchange.ExchangersTest	class	5	5	0	5	2	1	0	5	1	0	0	0	2	0	0	0	0	2	2	0
org.apache.dubbo.common.extension.director.impl.TestFrameworkProvider	class	2	2	0	2	1	1	0	0	0	0	#NUM!	#NUM!	1	0	1	0	0	0	1	0
org.apache.dubbo.metadata.rest.ClassPathServiceRestMetadataReader	class	6	8	2	6	4	1	0	11	1	0.33333334	0.33333334	0.33333334	3	0	3	0	0	0	3	0
org.apache.dubbo.common.config.OrderedPropertiesConfigurationTest	class	7	7	0	7	2	1	0	9	1	0	0	0	2	0	0	0	0	2	2	0
org.apache.dubbo.metadata.store.nacos.RetryTest	class	8	8	0	8	6	1	0	9	3	0	0	0	3	0	0	0	0	3	3	0
org.apache.dubbo.common.model.person.Cgeneric	class	4	5	1	4	7	1	0	0	15	0.8	0.14285715	0.14285715	7	0	7	0	0	0	7	0
