class	type	cbo	cboModified	fanin	fanout	wmc	dit	noc	rfc	lcom	lcom*	tcc	lcc	totalMethodsQty	staticMethodsQty	publicMethodsQty	privateMethodsQty	protectedMethodsQty	defaultMethodsQty	visibleMethodsQty	abstractMethodsQty
org.apache.dubbo.rpc.cluster.router.mesh.rule.virtualservice.match.StringMatchTest	class	2	2	0	2	5	1	0	8	10	0	0	0	5	0	0	0	0	5	5	0
org.apache.dubbo.common.utils.LRU2CacheTest	class	2	2	0	2	2	1	0	11	1	0	0	0	2	0	0	0	0	2	2	0
org.apache.dubbo.rpc.cluster.router.mesh.rule.virtualservice.match.ListBoolMatchTest	class	3	3	0	3	1	1	0	6	0	0	#NUM!	#NUM!	1	0	0	0	0	1	1	0
org.apache.dubbo.aot.generate.FieldDescriber	class	1	4	3	1	3	2	0	2	3	0	0	0	3	0	2	0	1	0	3	0
org.apache.dubbo.qos.command.CommandContextFactory	class	1	5	4	1	2	1	0	0	1	0	0	0	2	2	2	0	0	0	2	0
org.apache.dubbo.common.URLStrParserTest	class	2	2	0	2	5	1	0	14	4	0.6666667	0.1	0.1	4	0	0	0	0	4	5	0
org.apache.dubbo.common.extension.ext4.impl.Ext4Impl2	class	1	1	0	1	1	1	0	0	0	0	#NUM!	#NUM!	1	0	1	0	0	0	1	0
org.apache.dubbo.metrics.collector.HistogramMetricsCollector	class	19	21	2	19	17	2	0	27	22	0.775	0	0	8	0	6	2	0	0	6	0
org.apache.dubbo.rpc.protocol.tri.TriplePathResolverTest	class	6	7	1	6	7	1	0	13	0	0.2857143	0.8666667	1	7	0	2	1	0	4	6	0
org.apache.dubbo.rpc.model.ModuleServiceRepositoryTest	class	13	13	0	13	3	1	0	24	0	0.33333334	1	1	3	0	2	0	0	1	3	0
org.apache.dubbo.registry.nacos.NacosRegistryFactoryTest	class	5	5	0	5	4	1	0	5	0	0.25	0.5	0.5	4	0	2	0	0	2	4	0
org.apache.dubbo.config.AbstractServiceConfigTest	class	4	4	0	4	20	2	0	51	190	0	0	0	20	0	0	0	0	20	20	0
org.apache.dubbo.registry.support.FailbackRegistry	class	14	34	20	14	81	2	8	58	418	0.859375	0.036923077	0.055384614	32	0	17	6	5	4	26	4
org.apache.dubbo.metrics.collector.sample.MetricThreadPoolExhaustedListener	class	5	6	1	5	3	1	0	2	0	0	1	1	3	0	3	0	0	0	3	0
org.apache.dubbo.metadata.MetadataInfoTest	class	5	5	0	5	9	1	0	35	4	0.6388889	0.44444445	0.5833333	9	0	0	0	0	9	9	0
org.apache.dubbo.remoting.PerformanceClientMain	class	1	1	0	1	1	1	0	1	0	0	#NUM!	#NUM!	1	1	1	0	0	0	1	0
org.apache.dubbo.config.mock.MockExporterListener	class	2	2	0	2	2	1	0	0	1	0	0	0	2	0	2	0	0	0	2	0
org.apache.dubbo.rpc.cluster.router.RouterSnapshotFilter	class	10	12	2	10	7	1	0	11	4	0.625	0.16666667	0.16666667	4	0	4	0	0	0	4	0
org.apache.dubbo.rpc.protocol.tri.HelloReply	class	5	8	3	5	5	2	0	0	10	0	0	0	5	0	3	0	2	0	5	0
org.apache.dubbo.common.extension.ext4.impl.Ext4Impl1	class	1	1	0	1	1	1	0	0	0	0	#NUM!	#NUM!	1	0	1	0	0	0	1	0
org.apache.dubbo.config.mock.MockExchanger	class	5	5	0	5	2	1	0	0	1	0	0	0	2	0	2	0	0	0	2	0
org.apache.dubbo.demo.consumer.Application	class	7	10	0	10	9	1	0	17	0	0	#NUM!	#NUM!	1	1	1	0	0	0	1	0
org.apache.dubbo.rpc.protocol.tri.observer.ClientCallToObserverAdapter	class	4	7	3	4	11	2	0	7	0	0.2777778	1	1	9	0	9	0	0	0	9	0
org.apache.dubbo.rpc.protocol.dubbo.DecodeableRpcResult	class	12	16	4	12	34	2	0	40	10	0.6785714	1	1	8	0	4	4	0	0	4	0
com.alibaba.dubbo.container.page.PageServlet	class	11	13	2	11	48	2	0	52	13	0.8095239	0.1904762	0.2857143	7	1	3	0	4	0	7	0
org.apache.dubbo.metadata.rest.User	class	0	15	15	0	7	1	0	0	3	0.5714286	0.42857143	1	7	0	7	0	0	0	7	0
org.apache.dubbo.rpc.cluster.router.tag.model.ParamMatch	class	2	5	3	2	6	1	0	2	6	0.6	0.2	0.2	5	0	5	0	0	0	5	0
org.apache.dubbo.rpc.cluster.router.mesh.rule.virtualservice.match.DoubleMatch	class	1	5	4	1	11	1	0	2	3	0.5714286	0.42857143	1	7	0	7	0	0	0	7	0
org.apache.dubbo.config.spring.context.annotation.provider.HelloServiceImpl	class	2	6	4	2	1	1	0	0	0	0	#NUM!	#NUM!	1	0	1	0	0	0	1	0
org.apache.dubbo.registry.client.ReflectionBasedServiceDiscovery	class	15	16	1	15	28	2	0	62	63	0.83035713	0.17777778	0.33333334	14	0	10	4	0	0	10	0
