innerclass	0	0	0	0	14	1	0	0	22	0.75	0.35897437	1	13
class	16	18	2	16	9	2	0	13	15	0.8333333	0	0	6
class	6	6	0	6	2	2	0	9	1	0	0	0	2
innerclass	3	3	0	3	48	1	0	5	861	0.8372093	0.023255814	0.023255814	43
innerclass	0	0	0	0	14	1	0	0	22	0.75	0.35897437	1	13
class	10	10	0	10	1	1	0	2	0	0	#NUM!	#NUM!	1
interface	2	3	1	2	1	1	0	0	0	0	#NUM!	#NUM!	1
innerclass	3	3	0	3	48	1	0	5	861	0.8372093	0.023255814	0.023255814	43
innerclass	1	1	0	1	1	2	0	0	0	0	#NUM!	#NUM!	1
innerclass	3	3	0	3	74	1	0	5	2304	0.89855075	0.008951407	0.008951407	69
innerclass	3	3	0	3	74	1	0	5	2304	0.89855075	0.008951407	0.008951407	69
class	8	11	3	8	0	1	0	0	0	#NUM!	-1	-1	0
innerclass	0	0	0	0	14	1	0	0	22	0.75	0.35897437	1	13
interface	5	8	3	5	5	1	0	0	10	0	0	0	5
innerclass	1	1	0	1	1	2	0	0	0	0	#NUM!	#NUM!	1
innerclass	3	3	0	3	112	1	0	5	5629	0.93457943	0.003703051	0.003703051	107
class	3	5	2	3	12	2	0	4	13	0.6363637	0.38181818	0.8181818	11
class	12	12	0	12	9	1	0	22	0	0.4	1	1	5
innerclass	1	1	0	1	1	2	0	0	0	0	#NUM!	#NUM!	1
class	3	5	2	3	12	2	0	4	13	0.6363637	0.38181818	0.8181818	11
class	13	13	0	13	5	1	0	15	0	0.25	1	1	4
class	15	15	0	15	9	1	0	13	0	0.25	1	1	6
class	1	7	6	1	89	1	1	8	3652	0.9667916	0.033707865	1	89
class	3	6	3	3	0	1	0	0	0	#NUM!	-1	-1	0
innerclass	0	0	0	0	14	1	0	0	22	0.75	0.35897437	1	13
interface	3	3	0	3	11	1	0	0	55	0	0	0	11
interface	3	6	3	3	6	1	0	0	15	0	0	0	6
class	13	13	0	13	3	1	0	4	0	0	1	1	3
interface	3	4	1	3	11	1	0	0	55	0	0	0	11
class	6	6	0	6	1	1	0	3	0	0	#NUM!	#NUM!	1
class	3	4	1	3	8	1	0	3	22	0.625	0.10714286	0.10714286	8
innerclass	1	1	0	1	1	2	0	0	0	0	#NUM!	#NUM!	1
innerclass	1	1	0	1	1	2	0	0	0	0	#NUM!	#NUM!	1
class	1	9	8	1	23	1	0	8	187	0.8768115	0.13043478	1	23
class	3	6	3	3	0	1	0	0	0	#NUM!	-1	-1	0
interface	2	3	1	2	1	1	0	0	0	0	#NUM!	#NUM!	1
innerclass	3	3	0	3	114	1	0	5	5844	0.9357798	0.003567788	0.003567788	109
class	3	4	1	3	12	2	0	4	13	0.6363637	0.38181818	0.8181818	11
interface	3	3	0	3	11	1	0	0	55	0	0	0	11
interface	3	3	0	3	11	1	0	0	55	0	0	0	11
class	3	6	3	3	0	1	0	0	0	#NUM!	-1	-1	0
innerclass	1	1	0	1	1	2	0	0	0	0	#NUM!	#NUM!	1
class	4	7	3	4	0	2	0	0	0	#NUM!	-1	-1	0
interface	2	7	5	2	9	1	0	0	36	0	0	0	9
innerclass	0	0	0	0	14	1	0	0	22	0.75	0.35897437	1	13
innerclass	3	3	0	3	102	1	0	5	4614	0.92783505	0.004510309	0.004510309	97
interface	3	4	1	3	11	1	0	0	55	0	0	0	11
innerclass	0	0	0	0	14	1	0	0	22	0.75	0.35897437	1	13
class	0	3	3	0	7	1	0	8	3	0.64285713	0.42857143	1	7
class	1	1	0	1	9	1	0	8	12	0.7111112	0.33333334	1	9
class	6	6	0	6	8	1	0	16	0	0	1	1	5
class	4	6	2	4	0	1	0	0	0	#NUM!	-1	-1	0
class	1	3	2	1	9	1	0	8	12	0.7111112	0.33333334	1	9
class	4	14	10	4	0	2	0	0	0	#NUM!	-1	-1	0
innerclass	0	0	0	0	14	1	0	0	22	0.75	0.35897437	1	13
interface	7	9	2	7	8	1	0	0	28	0	0	0	8
class	3	6	3	3	12	2	0	4	13	0.6363637	0.38181818	0.8181818	11
innerclass	3	3	0	3	96	1	0	5	4053	0.9230769	0.005128205	0.005128205	91
class	1	2	1	1	13	1	0	8	42	0.7912088	0.23076923	1	13
innerclass	0	0	0	0	14	1	0	0	22	0.75	0.35897437	1	13
interface	3	4	1	3	11	1	0	0	55	0	0	0	11
innerclass	0	0	0	0	14	1	0	0	22	0.75	0.35897437	1	13
class	14	14	0	14	9	1	0	12	0	0	1	1	6
interface	3	4	1	3	11	1	0	0	55	0	0	0	11
innerclass	0	0	0	0	14	1	0	0	22	0.75	0.35897437	1	13
class	3	6	3	3	0	1	0	0	0	#NUM!	-1	-1	0
class	2	3	1	2	1	1	0	1	0	0	#NUM!	#NUM!	1
class	17	17	0	17	10	1	0	11	0	0	1	1	10
class	28	29	1	28	31	1	0	74	6	0.6388889	0.53571427	1	9
anonymous	6	6	0	6	3	1	0	5	0	0	#NUM!	#NUM!	1
innerclass	1	1	0	1	1	2	0	0	0	0	#NUM!	#NUM!	1
innerclass	1	1	0	1	1	2	0	0	0	0	#NUM!	#NUM!	1
interface	3	15	12	3	10	1	0	0	45	0	0	0	10
innerclass	0	0	0	0	14	1	0	0	22	0.75	0.35897437	1	13
innerclass	1	1	0	1	1	2	0	0	0	0	#NUM!	#NUM!	1
innerclass	3	3	0	3	150	1	0	5	10398	0.9517241	0.002011494	0.002011494	145
innerclass	1	1	0	1	1	2	0	0	0	0	#NUM!	#NUM!	1
innerclass	3	3	0	3	146	1	0	5	9828	0.95035464	0.00212766	0.00212766	141
interface	3	4	1	3	11	1	0	0	55	0	0	0	11
interface	3	4	1	3	11	1	0	0	55	0	0	0	11
innerclass	0	0	0	0	14	1	0	0	22	0.75	0.35897437	1	13
class	12	12	0	12	2	1	0	5	0	0	1	1	2
class	3	6	3	3	0	1	0	0	0	#NUM!	-1	-1	0
innerclass	0	0	0	0	14	1	0	0	22	0.75	0.35897437	1	13
innerclass	3	3	0	3	112	1	0	5	5629	0.93457943	0.003703051	0.003703051	107
innerclass	0	0	0	0	14	1	0	0	22	0.75	0.35897437	1	13
innerclass	0	0	0	0	14	1	0	0	22	0.75	0.35897437	1	13
