innerclass	3	3	0	3	152	1	0	5	10689	0.95238096	0.001956947	0.001956947	147
class	12	13	1	12	36	1	0	57	66	0.9166667	#NUM!	#NUM!	12
interface	4	5	1	4	2	1	0	0	1	0	0	0	2
interface	3	4	1	3	11	1	0	0	55	0	0	0	11
class	7	7	0	7	13	1	0	19	0	0	1	1	6
interface	3	3	0	3	11	1	0	0	55	0	0	0	11
interface	3	3	0	3	11	1	0	0	55	0	0	0	11
innerclass	1	1	0	1	1	2	0	0	0	0	#NUM!	#NUM!	1
class	1	5	4	1	11	1	0	8	25	0.7575758	0.27272728	1	11
class	4	7	3	4	0	1	0	0	0	#NUM!	-1	-1	0
class	2	3	1	2	1	1	0	1	0	0	#NUM!	#NUM!	1
class	7	7	0	7	8	1	0	14	0	0	1	1	6
anonymous	1	1	0	1	1	1	0	3	0	0	#NUM!	#NUM!	1
class	4	5	1	4	0	1	0	0	0	#NUM!	-1	-1	0
innerclass	0	0	0	0	14	1	0	0	22	0.75	0.35897437	1	13
innerclass	1	1	0	1	1	2	0	0	0	0	#NUM!	#NUM!	1
class	5	9	4	5	0	2	0	0	0	#NUM!	-1	-1	0
innerclass	0	0	0	0	14	1	0	0	22	0.75	0.35897437	1	13
class	5	8	3	5	0	1	0	0	0	#NUM!	-1	-1	0
innerclass	3	3	0	3	48	1	0	5	861	0.8372093	0.023255814	0.023255814	43
class	3	4	1	3	12	2	0	4	13	0.6363637	0.38181818	0.8181818	11
innerclass	3	3	0	3	50	1	0	5	948	0.84444445	0.021212121	0.021212121	45
class	12	12	0	12	8	1	0	7	0	0	1	1	5
innerclass	3	3	0	3	88	1	0	5	3361	0.91566265	0.006171025	0.006171025	83
class	3	7	4	3	0	1	0	0	0	#NUM!	-1	-1	0
interface	4	5	1	4	4	1	0	0	6	0	0	0	4
interface	3	4	1	3	11	1	0	0	55	0	0	0	11
class	2	3	1	2	1	1	0	1	0	0	#NUM!	#NUM!	1
class	3	5	2	3	12	2	0	4	13	0.6363637	0.38181818	0.8181818	11
innerclass	1	1	0	1	1	2	0	0	0	0	#NUM!	#NUM!	1
class	15	15	0	15	6	1	0	7	0	0	1	1	6
interface	4	6	2	4	4	1	0	0	6	0	0	0	4
class	16	16	0	16	9	1	0	11	0	0	1	1	8
interface	1	3	2	1	6	1	0	0	15	0	0	0	6
class	3	6	3	3	12	2	0	4	13	0.6363637	0.38181818	0.8181818	11
class	3	5	2	3	12	2	0	4	13	0.6363637	0.38181818	0.8181818	11
class	3	5	2	3	12	2	0	4	13	0.6363637	0.38181818	0.8181818	11
class	1	6	5	1	11	1	0	8	25	0.7575758	0.27272728	1	11
interface	3	3	0	3	11	1	0	0	55	0	0	0	11
