student.information.system.Choice	private void initComponents() 	jTextField1	B1	0/2
student.information.system.CounsellingResult	private void initComponents() 	jTextField1	B1	0/2
student.information.system.CounsellingResult	private void initComponents() 	jTextField4	B1	0/2
student.information.system.Login	private void initComponents() 	jLabel1	B1	0/2
student.information.system.Login	private void initComponents() 	txt_date	B1	0/2
student.information.system.Login	private void initComponents() 	txt_time	B1	0/2
student.information.system.Login	private void initComponents() 	txt_username	B1	0/2
student.information.system.MainMenu	private void initComponents() 	jLabel1	B1	0/2
student.information.system.StudentInformation	private void initComponents() 	jLabel1	B1	0/2
student.information.system.StudentInformation	private void initComponents() 	jLabel10	B1	0/2
student.information.system.StudentInformation	private void initComponents() 	jLabel11	B1	0/2
student.information.system.StudentInformation	private void initComponents() 	jLabel13	B1	0/2
student.information.system.StudentInformation	private void initComponents() 	jLabel14	B1	0/2
student.information.system.StudentInformation	private void initComponents() 	jLabel15	B1	0/2
student.information.system.StudentInformation	private void initComponents() 	jLabel16	B1	0/2
student.information.system.StudentInformation	private void initComponents() 	jLabel2	B1	0/2
student.information.system.StudentInformation	private void initComponents() 	jLabel3	B1	0/2
student.information.system.StudentInformation	private void initComponents() 	jLabel5	B1	0/2
student.information.system.StudentInformation	private void initComponents() 	jLabel6	B1	0/2
student.information.system.StudentInformation	private void initComponents() 	jLabel7	B1	0/2
student.information.system.StudentInformation	private void initComponents() 	jLabel8	B1	0/2
student.information.system.StudentInformation	private void initComponents() 	jMenu1	B1	0/2
student.information.system.StudentInformation	private void initComponents() 	jMenu2	B1	0/2
student.information.system.StudentInformation	private void initComponents() 	lbl_date	B1	0/2
student.information.system.StudentInformation	private void initComponents() 	lbl_time	B1	0/2
student.information.system.StudentInformation	private void initComponents() 	txt_address	B1	0/2
student.information.system.StudentInformation	private void initComponents() 	txt_apt	B1	0/2
student.information.system.StudentInformation	private void initComponents() 	txt_firstname	B1	0/2
student.information.system.StudentInformation	private void jButton3ActionPerformed(java.awt.event.ActionEvent) 	writer	B6	0/2
student.information.system.users	private void initComponents() 	jLabel1	B1	0/2
student.information.system.users	private void initComponents() 	jLabel2	B1	0/2
student.information.system.users	private void initComponents() 	jLabel3	B1	0/2
student.information.system.users	private void initComponents() 	jLabel4	B1	0/2
student.information.system.users	private void initComponents() 	jLabel5	B1	0/2
student.information.system.users	private void initComponents() 	txt_id	B1	0/2
student.information.system.CounsellingResult	private void jTextField2ActionPerformed(java.awt.event.ActionEvent) 	q	B1	1/11
student.information.system.CounsellingResult	private void jTextField2ActionPerformed(java.awt.event.ActionEvent) 	q	B2	0/6
student.information.system.StudentInformation	private void txt_search1KeyReleased(java.awt.event.KeyEvent) 	lbl_img	B1	1/7
student.information.system.Audit_details	private void txt_searchKeyReleased(java.awt.event.KeyEvent) 	tbl_3	B1	1/5
student.information.system.Login	private void txt_comboActionPerformed(java.awt.event.ActionEvent) 	jLabel2	B1	2/3
student.information.system.Login	private void txt_comboActionPerformed(java.awt.event.ActionEvent) 	jLabel3	B1	2/3
student.information.system.Login	private void jButton1ActionPerformed(java.awt.event.ActionEvent) 	jLabel2	B1	5/6
student.information.system.Login	private void jButton1ActionPerformed(java.awt.event.ActionEvent) 	jLabel2	B3	1/2
student.information.system.Login	private void jButton1ActionPerformed(java.awt.event.ActionEvent) 	jLabel3	B1	5/6
student.information.system.Login	private void jButton1ActionPerformed(java.awt.event.ActionEvent) 	jLabel3	B3	1/2
student.information.system.Login	public void currentDate() 	cal	B1	3/4
student.information.system.StudentInformation	public void currentDate() 	cal	B1	6/7
student.information.system.StudentInformation	public void currentDate() 	lbl_date	B1	7/8
